AC;ACRELÂNDIA;OFICIAL DE REGISTRO DE IMÓVEIS DE ACRELÂNDIA - AC;MILIANE GOMES;Rua Geraldo Barbosa;766;69945-000;Centro;68;32351080;ofunicodeacrelandia@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;ASSIS BRASIL;OFICIAL DE REGISTRO DE IMÓVEIS DE ASSIS BRASIL - AC  ;BRUNO JERONIMO BRAGA;Avenida Presidente Getúlio Vargas;397;69935-000;Centro;68;3548-1249;cartorioassisbrasil@yahoo.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;BRASILÉIA;OFICIAL DE REGISTRO DE IMÓVEIS DE BRASILÉIA - AC;RODRIGO DA SILVA AZEVEDO;Rua José Rui Lino;845;69932-000;Raimundo Chaar;68;35465028;cartoriobrasileia@yahoo.com.br;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;BUJARI;OFICIAL DE REGISTRO DE IMÓVEIS DE BUJARI - AC;EVANEY DE ARAÚJO SILVA;Rua Pôr do Sol;128;69926-000;Segundo Distrito;68;32311189;cartoriobujari@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;CAPIXABA;OFICIAL DE REGISTRO DE IMÓVEIS DE CAPIXABA - AC;DAIANY DA SILVA CRUZ;Rua Governador Edmundo Pinto;1030;69931-000;Centro;68;32341232;cartoriocapixaba@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;CRUZEIRO DO SUL;OFICIAL DE REGISTRO DE IMÓVEIS DE CRUZEIRO DO SUL - AC;JONATHAS RIBEIRO DA SILVA;Rua Rodrigues Alves;60;69980-000;Centro;68;33227955;soedonoquemregistra@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;EPITACIOLÂNDIA;OFICIAL DE REGISTRO DE IMÓVEIS DE EPITACIOLANDIA - AC;VALÉRIA CRISTINA AQUINO DOS ANJOS;Avenida Amazonas;1309;69934-000;Liberdade;68;35463354;cartorioepitaciolandia@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;FEIJÓ;OFICIAL DE REGISTRO DE IMÓVEIS DA COMARCA DE FEIJO - AC;SILVANO DECARLI;Avenida Placido de Castro;551;69960-000;Centro;68;34632423;sdecarli@uol.com.br;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;MÂNCIO LIMA;OFICIAL DE REGISTRO DE IMÓVEIS DE MANCIO LIMA - AC;CLEBER CORREA;Rua Japiim;1171;69990-000;Centro;68;33431696;cartoriomanciolima@hotmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;MANOEL URBANO;OFICIAL DE REGISTRO DE IMÓVEIS DE MANOEL URBANO - AC;DIRCE YUKARI SUGUI AZEVEDO DA SILVEIRA;Rua Mendes Araújo;33;69950-000;Centro;68;36111197;cartoriomanoelurbano@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;PLÁCIDO DE CASTRO;OFICIAL DE REGISTRO DE IMÓVEIS DE PLACIDO DE CASTRO - AC;ANA PAULA GAVIOLI BITTENCOURT;Rua João Daniel Damasceno;330;69928-000;Rapirran;68;32372146;atendimento.certidao@hotmail.com;  www.cartoriobittencourt.com.br;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;PORTO ACRE;OFICIAL DE REGISTRO DE IMÓVEIS DE PORTO ACRE - AC  - ATIVO;EVANEY DE ARAÚJO SILVA;Rua Alameda das Falcatas;15;69927-000;Centro;68;32611003;cartorioportoacre2017@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;PORTO WALTER;OFICIAL DE REGISTRO DE IMÓVEIS DE PORTO WALTER - AC;JAQUELINE SILVA DE SOUZA;Rua Mamed Cameli;370;69982-000;Centro;68;33258075;cartoriopw@yahoo.com.br;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;RIO BRANCO;1º OFICIAL DE REGISTRO DE IMÓVEIS DE RIO BRANCO - AC;FABIANA FARO DE SOUZA CAMPOS TEIXEIRA;Rua Ceara;2563;69900-300;Dom Giocondo;68;99283-6419;agendamentoinformacoes@gmail.com;Informação não cadastrada. ;Certidão Digital / Matrícula Online / Pesquisa Qualificada / e-Protocolo / Intimação-Consolidação;
AC;RIO BRANCO;2º OFICIAL DE REGISTRO DE IMÓVEIS DE RIO BRANCO - AC;FELIPE MARTINI BELCHIOR;Rua Manoel Rodrigues de Souza;238;69900-451;Bosque;68;21023453;cartorio@segundori.com.br;  www.segundori.com.br;Certidão Digital / Matrícula Online / Pesquisa Qualificada / e-Protocolo / Intimação-Consolidação;
AC;RODRIGUES ALVES;OFICIAL DE REGISTRO DE IMÓVEIS DE RODRIGUES ALVES - AC;PAULA SIQUEIRA LIMA;Rua Hugo Carneiro;139;69985-000;Centro;68;33421301;cartoriorodriguesalves@hotmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;SENA MADUREIRA;OFICIAL DE REGISTRO DE IMÓVEIS DE SENA MADUREIRA - AC  - ATIVO;DIRCE YUKARI SUGUI AZEVEDO DA SILVEIRA;Rua Siqueira Campos;81;69940-000;Centro;68;36123346;cartoriosena@gmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
AC;SENADOR GUIOMARD;OFICIAL DE REGISTRO DE IMÓVEIS DE SENADOR GUIOMARD - AC;RICARDO DE VASCONCELOS MARTINS;Rua Avenida Castelo Branco;1418;69925-000;Centro;68;32323569;cartoriomartins.ac@hotmail.com;Informação não cadastrada. ;Certidão Digital / e-Protocolo / Intimação-Consolidação;
